Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Arab World,ARB,"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.8137169,14.85870354,16.50009992,17.31115193,17.73391087,16.34131787,16.50039983,16.50411467,16.50826621,17.84582767,17.6923612,18.27769929,18.02474662,17.83840989,17.81317495,16.98164691,15.75219984,15.72130247,17.45433898,17.62518593,18.12730155,18.5975322,18.50272017,18.51282322,18.81590469,18.73895559,18.67705596,18.69094758
Arab World,ARB,"Unemployment, female (% of female labor force) (national estimate)",SL.UEM.TOTL.FE.NE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.37366198,17.46622368,19.14001952,19.25116003,,19.17997268,,19.30445467,,18.90730558,,
Arab World,ARB,"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.6248423,11.33276742,12.07086454,12.05580425,12.33929019,11.73378156,11.02850429,11.10518038,11.29143959,11.46915213,11.25324251,11.1861035,11.12571327,9.901192171,9.622745735,8.712669713,8.331396334,7.908901885,7.197816782,7.063814591,8.009096295,8.1232022,8.106070218,8.10105939,8.034264849,7.716245598,7.724836302,7.704094253
Arab World,ARB,"Unemployment, male (% of male labor force) (national estimate)",SL.UEM.TOTL.MA.NE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.306317389,7.715280298,7.004686705,6.691033308,,8.358600387,,8.416273345,,7.098097187,,
Arab World,ARB,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.63691942,12.01987363,12.93877608,13.09872297,13.41039559,12.64786334,12.10803082,12.1677189,12.33654477,12.75260601,12.55169395,12.59072464,12.50353861,11.49102383,11.26501055,10.37598923,9.846742877,9.472814405,9.259066491,9.178179512,10.0376771,10.23383318,10.21950434,10.21862852,10.220711,9.96699997,9.95602078,9.942483486
Arab World,ARB,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.52646684,9.699939627,9.947311607,9.539942172,9.328540857,11.18903259,10.72829511,,10.61859922,,9.594280274,,
Caribbean small states,CSS,"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.3926515,18.34032647,18.37176165,17.83347487,17.33109639,17.58010687,17.60322295,16.80107306,16.87941329,16.24428991,15.35107685,14.91876274,13.7927898,12.89396502,12.78502624,11.69542397,11.4468357,11.1442854,12.400798,13.23333549,13.78288068,14.43870841,15.12387612,14.26665381,13.82591553,13.62778528,12.75846042,11.30865214
Caribbean small states,CSS,"Unemployment, female (% of female labor force) (national estimate)",SL.UEM.TOTL.FE.NE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.00652799,22.05235377,22.20221895,21.35217165,20.64599759,21.15624672,20.75672585,19.71850663,19.53390337,,17.34015627,17.23129666,15.62489965,,14.10491057,12.35488986,11.93935446,11.13451549,12.40611252,12.30918405,13.45621466,14.24007607,14.64930227,13.33489966,13.32062305,13.3018233,,
Caribbean small states,CSS,"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.381022603,9.494752292,10.1021858,9.463641482,9.420964483,8.893197,8.982241768,8.575709015,8.644838466,8.459226775,8.445023788,8.485634328,7.638642401,7.606329834,7.2015988,6.587121047,5.909977364,6.539409709,7.994720393,8.39408136,8.349960616,9.025112934,9.245947018,8.540654107,8.479978199,8.290823077,7.754262882,7.150427367
Caribbean small states,CSS,"Unemployment, male (% of male labor force) (national estimate)",SL.UEM.TOTL.MA.NE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.48304514,12.46173677,13.26452216,12.09384272,11.92170251,10.73610127,10.54419798,9.828068497,9.819066271,,9.511123839,9.169155111,8.498027902,,7.446310891,6.494248318,5.662790574,6.369960567,7.880028394,7.108427967,7.979862166,8.634520496,8.814383755,7.547291605,7.878531329,8.048875138,,
Caribbean small states,CSS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.02650951,13.1140331,13.52099813,12.9353032,12.68944038,12.48521476,12.51914866,11.92302312,11.99563971,11.6239106,11.26626631,11.12766054,10.18451273,9.812317155,9.549939621,8.744862132,8.246547546,8.493918492,9.863306733,10.45656216,10.67272767,11.35282438,11.7887357,11.01905634,10.78648598,10.61229463,9.930249163,8.961897567
